1;1;PDF;VDC;02/11/2016;11:00;13:00
2;3;BAO;PFL;03/11/2016;14:00;17:30
3;4;VLG;PRT;04/11/2016;18:00;18:30
4;1;AMR;BAO;12/03/2014;12:00;14:00
5;1;AMR;PRT;13/11/2016;14:01;15:01
6;1;AMR;VNG;02/02/2017;12:01;15:01
7;1;BAO;PFL;13/11/2016;14:00;15:00
8;3;VDC;VNG;14/11/2016;11:30;12:30
9;1;VDC;VNG;14/11/2016;11:00;14:00
10;1;AMR;PRT;22/11/2016;12:00;13:00
11;1;AMR;PRT;22/11/2016;01:00;02:00
12;3;VDC;VNG;16/11/2016;14:00;17:00
13;3;BAO;GDR;15/11/2016;14:00;16:00
14;1;VDC;VNG;15/11/2016;16:30;17:00
15;1;AMR;PRT;22/11/2016;12:00;13:00
16;5;AMR;PRT;22/11/2016;14:00;15:00
